L4 | Tue Jan 29 13:01:20 2019 (43 ms) | general | New game starting up
L4 | Tue Jan 29 13:01:20 2019 (43 ms) | general | Target game image size:  1280x720

L4 | Tue Jan 29 13:01:20 2019 (43 ms) | general | Ideal window dimensions:  1280x720

L4 | Tue Jan 29 13:01:20 2019 (43 ms) | general | Trying to start in fullscreen mode.
L4 | Tue Jan 29 13:01:20 2019 (43 ms) | general | The following frame rates are considered possible:
L4 | Tue Jan 29 13:01:20 2019 (43 ms) | general | 30 fps
L4 | Tue Jan 29 13:01:20 2019 (44 ms) | general | 60 fps
L4 | Tue Jan 29 13:01:20 2019 (44 ms) | general | 120 fps
L4 | Tue Jan 29 13:01:20 2019 (44 ms) | general | 144 fps
L4 | Tue Jan 29 13:01:20 2019 (44 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Tue Jan 29 13:01:20 2019 (44 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Tue Jan 29 13:01:20 2019 (44 ms) | general | Sticking with user's current screen resolution
L4 | Tue Jan 29 13:01:20 2019 (44 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Tue Jan 29 13:01:20 2019 (44 ms) | general | Available video modes:
L5 | Tue Jan 29 13:01:20 2019 (44 ms) | general |    1920 x 1080

L4 | Tue Jan 29 13:01:20 2019 (44 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Tue Jan 29 13:01:20 2019 (44 ms) | general |    ^^^^ this mode matches requested mode
L5 | Tue Jan 29 13:01:20 2019 (44 ms) | general |    1360 x 768

L4 | Tue Jan 29 13:01:20 2019 (44 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Tue Jan 29 13:01:20 2019 (44 ms) | general |    1280 x 1024

L5 | Tue Jan 29 13:01:20 2019 (44 ms) | general |    1280 x 720

L4 | Tue Jan 29 13:01:20 2019 (44 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Tue Jan 29 13:01:20 2019 (44 ms) | general |    1152 x 864

L5 | Tue Jan 29 13:01:20 2019 (44 ms) | general |    1024 x 768

L5 | Tue Jan 29 13:01:20 2019 (44 ms) | general |    800 x 600

L5 | Tue Jan 29 13:01:20 2019 (44 ms) | general |    720 x 576

L5 | Tue Jan 29 13:01:20 2019 (44 ms) | general |    720 x 480

L5 | Tue Jan 29 13:01:20 2019 (44 ms) | general |    720 x 400

L5 | Tue Jan 29 13:01:20 2019 (44 ms) | general |    640 x 480

L4 | Tue Jan 29 13:01:20 2019 (86 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=512 (requested 1024)

L4 | Tue Jan 29 13:01:21 2019 (811 ms) | general | Measured frame rate = 60.098516 fps

L4 | Tue Jan 29 13:01:21 2019 (811 ms) | general | Closest possible frame rate = 60 fps

L4 | Tue Jan 29 13:01:21 2019 (811 ms) | general | Vsync seems to be enforcing an allowed frame rate of 60 fps.

L4 | Tue Jan 29 13:01:21 2019 (811 ms) | general | Recording game into file recordedGames/recordedGame000001.txt
L4 | Tue Jan 29 13:01:21 2019 (811 ms) | general | Only keeping 20 past recordings
L4 | Tue Jan 29 13:01:21 2019 (811 ms) | general | Removed 0 stale recordings
L1 | Tue Jan 29 13:01:30 2019 (170 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y0.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (170 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y0_square.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (170 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y0.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (170 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y0_square.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (170 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y0.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (170 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y0_square.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (170 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y0.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (170 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y0_square.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (170 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y1.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y1_square.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y1.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y1_square.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y1.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y1_square.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y1.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y1_square.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y2.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y2_square.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y2.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y2_square.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y2.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y2_square.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y2.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y2_square.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y3.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x0_y3_square.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y3.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x1_y3_square.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y3.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x2_y3_square.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y3.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (171 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_0_x3_y3_square.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (616 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x0_y0.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (616 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x0_y0_square.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (616 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x1_y0.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (616 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x1_y0_square.tga does not exist
L1 | Tue Jan 29 13:01:30 2019 (616 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_1_x2_y0.tga does not exist
